上海,2018-01-01,10,3,晴,东风 2级
上海,2018-01-02,13,6,雨,东南风 3级
上海,2018-01-03,10,5,雨,东北风 4级
上海,2018-01-04,7,4,雨,东北风 3级
上海,2018-01-05,7,3,晴,北风 3级
上海,2018-01-06,7,2,雨,东北风 2级
上海,2018-01-07,10,7,雨,西北风 3级
上海,2018-01-08,5,1,多云,西北风 4级
上海,2018-01-09,5,-1,晴,西风 4级
上海,2018-01-10,5,0,晴,西北风 3级
上海,2018-01-11,5,-1,晴,西北风 3级
上海,2018-01-12,2,-2,晴,西北风 3级
上海,2018-01-13,7,-2,阴,东南风 2级
上海,2018-01-14,11,-1,晴,南风 2级
上海,2018-01-15,14,6,晴,东风 2级
上海,2018-01-16,14,8,雨,西风 3级
上海,2018-01-17,12,7,晴,西北风 2级
上海,2018-01-18,10,6,多云,东北风 2级
上海,2018-01-19,10,7,霾,东北风 2级
上海,2018-01-20,9,6,阴,东北风 2级
上海,2018-01-21,9,6,雨,东风 2级
上海,2018-01-22,11,5,晴,西北风 2级
上海,2018-01-23,6,4,阴,东北风 3级
上海,2018-01-24,4,0,雪,东北风 3级
上海,2018-01-25,3,0,雪,东北风 4级
上海,2018-01-26,2,0,阴,北风 3级
上海,2018-01-27,2,0,雪,东北风 3级
上海,2018-01-28,4,1,阴,北风 3级
上海,2018-01-29,3,-3,晴,西北风 3级
上海,2018-01-30,4,-3,霾,西北风 2级
上海,2018-01-31,3,0,多云,西北风 2级
上海,2018-02-01,6,-1,多云,北风 2级
上海,2018-02-02,7,0,多云,西北风 3级
上海,2018-02-03,1,-2,阴,北风 3级
上海,2018-02-04,2,-3,多云,北风 3级
上海,2018-02-05,5,-2,晴,西北风 3级
上海,2018-02-06,4,-2,晴,北风 3级
上海,2018-02-07,6,-2,阴,南风 2级
上海,2018-02-08,7,0,多云,北风 2级
上海,2018-02-09,10,2,阴,南风 2级
上海,2018-02-10,8,1,阴,北风 3级
上海,2018-02-11,8,0,晴,西北风 3级
上海,2018-02-12,7,-1,晴,西北风 3级
上海,2018-02-13,12,0,晴,南风 3级
上海,2018-02-14,17,7,多云,南风 2级
上海,2018-02-15,10,5,雨,东北风 3级
上海,2018-02-16,8,5,多云,东北风 2级
上海,2018-02-17,11,3,晴,东风 3级
上海,2018-02-18,10,6,雨,东南风 3级
上海,2018-02-19,9,6,雨,东北风 3级
上海,2018-02-20,8,6,雨,东北风 3级
上海,2018-02-21,8,4,阴,东北风 3级
上海,2018-02-22,9,5,多云,西风 2级
上海,2018-02-23,13,4,晴,南风 3级
上海,2018-02-24,12,7,雨,东风 3级
上海,2018-02-25,11,6,阴,东北风 3级
上海,2018-02-26,13,3,晴,东南风 2级
上海,2018-02-27,17,7,阴,东南风 3级
上海,2018-02-28,14,10,多云,西风 4级
上海,2018-03-01,13,7,多云,东北风 3级
上海,2018-03-02,12,6,阴,东风 3级
上海,2018-03-03,15,10,晴,东南风 2级
上海,2018-03-04,24,13,雨,南风 3级
上海,2018-03-05,13,7,风,北风 5级
上海,2018-03-06,12,7,多云,东北风 3级
上海,2018-03-07,10,8,雨,东北风 3级
上海,2018-03-08,10,4,多云,北风 4级
上海,2018-03-09,10,2,晴,北风 3级
上海,2018-03-10,15,2,晴,南风 2级
上海,2018-03-11,16,8,多云,东南风 3级
上海,2018-03-12,20,10,晴,南风 3级
上海,2018-03-13,23,13,晴,南风 3级
上海,2018-03-14,22,15,多云,南风 3级
上海,2018-03-15,19,11,雨,东南风 2级
上海,2018-03-16,15,8,阴,北风 4级
上海,2018-03-17,13,8,多云,东风 3级
上海,2018-03-18,16,10,雨,南风 3级
上海,2018-03-19,13,7,阴,北风 3级
上海,2018-03-20,10,5,雨,西北风 3级
